"id";"city";"country";"region";"short_description";"latitude";"longitude";"budget_level";"culture";"adventure";"nature";"beaches";"nightlife";"cuisine";"wellness";"urban";"remoteness";"creative_city_category";"creative_city_year";"unesco_wh_count";"unesco_wh_names"
"c54acf38-3029-496b-8c7a-8343ad82785c";"Milan";"Italy";"europe";"Chic streets lined with fashion boutiques, historic architecture, and lively piazzas create a sophisticated yet welcoming atmosphere, perfect for leisurely exploration.";"45464194";"9189634";"Luxury";"5";"2";"2";"1";"4";"5";"3";"5";"2";"Literature";"2017";"3";"Church and Dominican Convent of Santa Maria delle Grazie with “The Last Supper” by Leonardo da Vinci | Crespi d'Adda | Venetian Works of Defence between the 16th and 17th Centuries: Stato da Terra – Western Stato da Mar"
"0bd12654-ed64-424e-a044-7bc574bcf078";"Yasawa Islands";"Fiji";"oceania";"Crystal-clear waters, secluded beaches, and vibrant coral reefs create a serene paradise perfect for unwinding and immersing in natural beauty.";"-17290947";"177125785";"Luxury";"2";"4";"5";"5";"2";"3";"4";"1";"5";"None";"0";"0";"None"
"73036cda-9134-46fc-a2c6-807782d59dfb";"Whistler";"Canada";"north_america";"Snow-capped peaks and lush forests create a serene escape, where outdoor adventures meet cozy village vibes and crisp mountain air.";"50117190";"-122954302";"Luxury";"3";"5";"5";"2";"3";"3";"4";"2";"4";"None";"0";"0";"None"
"3872c9c0-6b6e-49e1-9743-f46bfe591b86";"Guanajuato";"Mexico";"north_america";"Winding cobblestone streets and colorful facades create a charming, vibrant atmosphere, where history and lively festivals fill the air with excitement.";"20987699";"-101000000";"Mid-range";"5";"3";"3";"1";"3";"4";"3";"4";"2";"None";"0";"2";"Historic Town of Guanajuato and Adjacent Mines | Protective town of San Miguel and the Sanctuary of Jesús Nazareno de Atotonilco"
"e1ebc1b6-8798-422d-847a-22016faff3fd";"Surabaya";"Indonesia";"asia";"Bustling streets filled with the aroma of local spices, vibrant markets, and a rich cultural tapestry invite exploration and discovery.";"-7245971";"112737826";"Budget";"4";"3";"3";"2";"3";"4";"3";"4";"2";"None";"0";"0";"None"
"26bd92cc-1bd7-46bc-a132-9c227115194a";"Nuuk";"Greenland";"north_america";"Rugged landscapes meet the calm of icy fjords, where the crisp air and vibrant local culture create a unique Arctic charm.";"64176683";"-51735935";"Luxury";"3";"4";"5";"2";"2";"3";"2";"2";"5";"None";"0";"0";"None"
"20f80ed8-ce7f-43ad-a34d-a0cb156f5d4e";"Windhoek";"Namibia";"africa";"A blend of modernity and tradition, with bustling markets, German colonial architecture, and the vast Namibian landscape providing a unique backdrop.";"-22533560";"17045477";"Mid-range";"3";"4";"4";"1";"3";"3";"3";"3";"4";"None";"0";"0";"None"
"0dae5759-947a-40c9-aaea-e2e647f1061e";"Kingston";"Jamaica";"north_america";"Vibrant streets pulse with reggae rhythms, while lush hills and beaches offer a serene escape, creating a captivating blend of energy and tranquility.";"17971214";"-76792812";"Mid-range";"4";"3";"3";"3";"4";"4";"3";"3";"2";"Music";"2015";"2";"Blue and John Crow Mountains | The Archaeological Ensemble of 17th Century Port Royal"
"4e2d3678-bbb3-428e-a1df-0ba956ef3c77";"Nafplio";"Greece";"europe";"Charming cobblestone streets, vibrant bougainvillea, and the gentle sea breeze create a serene atmosphere perfect for leisurely exploration and relaxation.";"37565922";"22806878";"Mid-range";"4";"3";"4";"3";"3";"4";"3";"3";"4";"None";"0";"2";"Sanctuary of Asklepios at Epidaurus | Archaeological Sites of Mycenae and Tiryns"
"b78d096a-87d0-4010-baac-e4879cab6aa9";"Tbilisi";"Georgia";"asia";"Cobblestone streets wind through eclectic neighborhoods, where vibrant markets and ancient architecture create a welcoming blend of history and modern charm.";"41693459";"44801449";"Budget";"4";"3";"3";"1";"3";"4";"3";"3";"3";"Media Arts";"2021";"1";"Historical Monuments of Mtskheta"
"d5bca023-e7ef-45a6-bbf3-f27313ce544d";"Heidelberg";"Germany";"europe";"Cobblestone streets lined with charming old buildings and the gentle flow of the Neckar River create an inviting, romantic atmosphere.";"49409358";"8694724";"Mid-range";"5";"2";"4";"1";"3";"4";"3";"3";"4";"Literature";"2014";"4";"Speyer Cathedral | Abbey and Altenmünster of Lorsch | Maulbronn Monastery Complex | ShUM Sites of Speyer, Worms and Mainz"
"a881b470-86d0-4ce0-913b-1d453f68466e";"Hobart";"Australia";"oceania";"Charming waterfront views and a laid-back vibe invite exploration through historic streets, bustling markets, and the surrounding natural beauty of rugged landscapes.";"-42882508";"147328123";"Mid-range";"4";"3";"5";"3";"2";"4";"3";"3";"4";"Literature";"2023";"0";"None"
"6234202f-ff97-4d9b-955f-92bccb61c317";"Nagasaki";"Japan";"asia";"Steeped in history and surrounded by lush hills, this city offers a poignant mix of serene gardens and vibrant cultural experiences.";"33115468";"129787433";"Mid-range";"4";"2";"3";"2";"3";"4";"3";"3";"3";"None";"0";"0";"None"
"4dd122b5-7ab0-48b0-999b-dd08231fd517";"Utrecht";"Netherlands";"europe";"Charming canals lined with cozy cafés and historic buildings create a warm, inviting atmosphere perfect for leisurely strolls and quiet exploration.";"52090700";"5121563";"Mid-range";"4";"2";"3";"1";"4";"4";"3";"4";"3";"Literature";"2017";"2";"Mill Network at Kinderdijk-Elshout | Rietveld Schröderhuis (Rietveld Schröder House)"
"9a90f31c-7073-4cdd-a6d1-6a6a1cbb4e8f";"Bagan";"Myanmar";"asia";"Ancient temples rise from misty plains, where the golden glow of sunrise paints a serene landscape that feels both timeless and mystical.";"21131711";"94862364";"Budget";"5";"3";"4";"1";"1";"3";"2";"2";"4";"None";"0";"1";"Bagan"
"46cdc57e-d4d6-49a4-819a-5b8161bbdb3e";"Malmö";"Sweden";"europe";"Charming canals, innovative architecture, and a laid-back vibe make it perfect for leisurely strolls and exploring vibrant cultural scenes.";"55605293";"13000156";"Mid-range";"4";"3";"3";"3";"3";"4";"3";"4";"2";"None";"0";"0";"None"
